Temperature,Humidity,Measure1,Measure2,Measure3,Measure4,Measure5,Failure
64,77,1886,0,0,1826,1215,No
61,79,1831,3,0,1595,894,No
67,84,1443,1,1,339,1059,No
62,77,1483,0,2,767,432,No
63,81,1291,3,0,800,1928,No
67,79,587,2,2,1559,1008,No
63,84,1006,2,2,1576,1100,No
62,85,1361,2,2,1019,390,No
68,88,507,0,2,1481,482,No
63,87,576,1,0,902,1116,No
65,83,1523,0,0,447,1747,No
64,84,227,3,2,475,1945,No
61,88,1184,0,1,934,998,No
65,78,1346,1,0,544,550,No
64,85,669,3,0,804,1828,No
66,80,1311,3,2,534,429,No
65,85,1608,1,0,1852,523,No
61,84,1365,3,1,760,717,No
67,86,1565,1,1,456,1414,No
63,84,288,0,2,1511,1942,No
61,79,1156,2,2,776,197,No
61,83,1154,3,2,1387,1920,No
62,83,894,1,1,270,398,No
61,82,1065,1,2,195,160,No
66,88,1500,2,2,621,1439,No
60,81,889,2,1,1382,1273,No
63,84,765,1,2,1820,1634,No
63,83,373,1,2,932,1880,No
63,84,1279,1,2,1970,664,No
62,86,759,0,2,859,574,No
60,79,953,1,0,1853,1134,No
68,85,718,3,2,1366,1198,No
62,81,1201,0,2,714,356,No
66,78,1516,1,2,712,598,No
63,78,1197,3,0,318,274,No
62,86,1569,0,1,1012,1860,No
66,79,337,1,2,619,1221,No
61,86,1410,2,0,1925,450,No
66,83,364,1,2,171,733,No
62,82,1575,1,1,1428,1183,No
67,85,1729,2,2,1015,1783,No
67,79,1533,2,0,750,435,No
64,86,1027,2,2,1595,1463,No
63,88,1768,0,0,200,252,No
63,77,1563,2,0,936,1222,No
65,84,205,1,1,278,593,No
65,88,1053,0,2,956,222,No
65,85,1689,3,1,1659,1380,No
64,85,910,3,1,1135,1441,No
60,83,346,1,0,404,1863,No
64,77,1576,2,1,1450,1710,No
64,82,458,3,2,241,864,No
63,86,439,3,2,658,212,No
64,87,1906,3,2,747,1371,No
68,88,564,1,0,786,209,No
60,82,1236,2,2,1230,662,No
63,88,1994,2,1,1105,627,No
65,78,1047,1,0,1290,1823,No
64,88,951,1,0,1320,1480,No
67,85,821,1,2,407,181,No
62,78,350,2,2,177,1904,No
60,84,632,0,0,1175,1329,No
62,78,547,3,2,1091,719,No
60,85,965,2,2,1955,1369,No
62,80,1442,2,2,946,1184,No
68,86,1359,0,2,1288,1832,No
64,78,712,2,1,426,1731,No
60,77,660,3,2,1589,1969,No
68,79,1715,0,2,887,1405,No
65,83,594,3,0,582,426,No
62,88,1742,2,0,544,1735,No
68,88,604,0,1,805,1706,No
60,87,803,0,0,1075,902,No
62,80,1844,3,1,501,1357,No
63,85,1623,2,0,933,374,No
64,86,936,0,2,1751,1889,No
60,81,880,2,0,2007,769,No
61,86,1414,0,2,1021,887,No
65,88,376,0,2,1142,586,No
67,82,456,1,2,1364,1192,No
62,78,1776,0,0,1712,718,No
60,86,539,1,0,700,565,No
67,85,1098,3,1,1710,1912,No
64,88,812,3,1,1626,1239,No
67,79,1030,3,2,393,1366,No
63,80,195,1,0,194,327,No
68,79,787,1,0,883,210,No
65,85,825,3,1,921,867,No
60,83,1347,2,1,1269,1217,No
63,79,1768,2,0,458,525,No
68,82,1942,3,0,245,1095,No
64,78,1300,0,1,1691,1460,No
67,82,968,3,1,1400,593,No
61,86,310,2,0,1994,1133,No
63,83,491,0,2,617,965,No
66,81,1150,2,1,593,1994,No
67,86,654,0,2,1106,786,No
63,83,585,2,0,625,930,No
65,81,290,2,2,1424,1708,No
67,84,1969,2,2,1140,1443,No
63,87,731,2,0,1195,1130,No
62,83,1649,1,1,1968,1565,No
67,78,805,0,0,1859,795,No
60,86,1655,1,2,1878,677,No
67,83,1935,2,0,1467,906,No
66,84,1589,1,2,1964,944,No
61,79,907,3,1,779,1388,No
60,83,1205,3,0,770,397,No
64,85,1289,2,0,1487,1031,No
68,83,427,3,1,820,1864,No
64,80,480,3,0,1476,758,No
65,84,1778,2,2,571,1445,No
66,85,1519,3,2,487,1548,No
63,85,1809,3,0,696,933,No
67,81,242,0,0,449,429,No
64,88,1927,2,0,1615,821,No
65,83,1529,0,2,1481,947,No
68,78,915,1,0,1248,1680,No
66,81,190,2,2,1417,1566,No
63,87,2008,2,1,1844,725,No
61,81,1441,0,2,1552,403,No
60,77,1544,0,0,1968,1327,No
62,84,1210,1,0,1869,679,No
63,88,429,3,1,1160,296,No
62,86,1138,1,0,1396,900,No
64,78,632,0,1,1392,172,No
62,84,1118,3,1,1709,1018,No
66,83,356,0,1,334,574,No
65,84,607,0,2,631,1472,No
62,81,1824,0,2,1340,1445,No
68,81,1221,2,1,1747,1547,No
68,80,1360,0,0,528,1205,No
65,88,945,1,2,1428,1866,No
60,81,1104,2,0,1214,1793,No
66,82,1752,1,2,1514,910,No
64,86,1615,1,0,877,1906,No
66,87,1832,0,2,980,516,No
67,84,563,1,1,763,595,No
67,81,349,2,2,878,1487,No
61,78,1914,0,1,1078,1545,No
66,83,1482,2,1,158,978,No
63,80,1857,0,2,339,656,No
62,88,1265,1,0,155,213,No
61,87,1054,1,0,705,1147,No
68,78,1633,3,0,448,1644,No
63,80,1204,3,0,1349,1133,No
65,85,1024,1,2,1133,1384,No
60,78,1641,3,0,739,749,No
61,88,257,3,1,513,524,No
66,84,696,1,2,295,533,No
68,83,1261,1,1,1436,1737,No
64,86,1308,1,2,1091,1382,No
64,85,694,0,2,1540,636,No
64,84,1158,1,0,1202,725,No
67,82,1490,3,1,1587,423,No
67,80,470,0,1,1384,1784,No
60,87,1384,2,1,1503,912,No
67,81,1425,1,2,902,1968,No
66,77,1929,1,1,1878,1835,No
68,79,1223,2,0,702,615,No
63,79,1097,0,0,465,320,No
62,83,527,1,0,638,435,No
60,80,592,2,1,782,562,No
61,88,231,1,2,1901,1694,No
68,82,1775,1,1,1563,994,No
60,82,1083,2,0,1639,1579,No
60,83,1653,0,1,1416,1092,No
67,87,354,1,0,877,1093,No
66,87,1969,3,1,1026,437,No
68,79,1940,3,1,979,716,No
63,82,754,0,1,563,1147,No
65,77,255,1,2,218,1276,No
62,84,1717,3,1,693,926,No
66,81,752,2,1,1393,1205,No
65,83,1242,2,1,634,688,No
66,77,443,1,2,601,423,No
60,88,1823,0,1,956,1479,No
62,80,1068,3,1,1730,1902,No
68,82,1248,0,1,1032,1382,No
60,81,393,0,2,711,1305,No
68,84,1971,3,0,1735,1700,No
63,79,1537,0,0,943,235,No
60,77,1405,2,2,334,933,No
65,81,1280,0,2,1776,1698,No
60,85,492,3,0,1755,1579,No
63,81,289,1,1,387,1583,No
64,85,456,3,1,229,1604,No
67,77,1196,3,1,1372,815,No
67,87,1762,0,2,983,457,No
62,88,1561,0,1,1517,1381,No
68,88,855,2,1,339,705,No
64,84,1468,3,2,1318,237,No
60,78,560,0,0,1855,1175,No
60,81,1999,3,0,1063,892,No
68,83,1264,0,1,1495,1934,No
67,84,637,0,1,1971,1728,No
62,83,196,0,0,1498,1361,No
60,80,1195,1,2,950,262,No
61,85,1314,0,2,1501,1864,No
65,83,453,3,1,1452,1393,No
68,77,882,0,1,212,348,No
68,83,1921,1,1,963,726,No
60,87,1869,1,0,1006,732,No
67,88,1448,2,0,496,526,No
68,79,1376,0,0,459,594,No
61,80,1150,1,1,1865,1533,No
61,78,1532,3,1,1028,1497,No
65,81,1891,2,0,1639,1433,No
63,79,1929,0,2,176,1303,No
61,82,1809,0,2,1949,1492,No
63,80,1157,2,0,1626,1798,No
60,77,933,2,0,734,1507,No
68,85,1183,0,2,396,1227,No
63,79,1700,3,0,1787,1999,No
61,78,1504,0,0,1447,1014,No
62,87,1017,1,1,1252,754,No
61,88,478,3,2,1312,409,No
63,84,207,0,1,1624,678,No
67,86,1267,2,2,466,279,No
60,82,933,0,2,908,1487,No
67,86,251,0,2,1550,865,No
63,77,1386,1,0,1432,1661,No
61,77,1820,3,1,1858,681,No
65,84,1405,2,2,219,289,No
65,78,1354,2,0,401,1791,No
68,85,927,3,2,1412,191,No
64,79,1475,3,0,366,157,No
66,83,842,0,0,1349,1647,No
62,82,1271,2,2,1222,987,No
66,79,1030,1,1,1718,528,No
61,82,821,3,1,599,1939,No
66,77,1805,2,1,1788,1544,No
63,79,1110,2,1,540,1491,No
68,81,1785,1,2,1291,1276,No
64,88,1995,0,0,1613,245,No
61,81,1890,0,2,873,446,No
68,85,790,0,1,1272,514,No
68,77,1858,3,0,297,446,No
68,88,542,2,0,1706,1385,No
65,77,644,0,1,508,1710,No
65,81,1090,0,1,573,1048,No
63,82,2005,2,1,1647,1253,No
67,82,1699,1,1,239,1287,No
65,78,733,2,0,658,1872,No
65,78,398,3,1,1904,489,No
65,84,1270,3,1,1631,538,No
62,86,1655,2,2,1216,434,No
62,80,1669,3,2,851,581,No
67,87,1630,0,2,1936,354,No
60,81,1946,2,1,1953,1685,No
63,88,529,3,0,349,569,No
63,86,1787,0,0,490,1954,No
61,82,1660,3,1,1974,800,No
68,77,1476,1,1,1917,1205,No
65,82,341,3,2,1877,1334,No
66,87,871,0,2,1859,1150,No
62,88,1895,0,2,1908,1149,No
62,83,1205,1,1,1868,795,No
64,84,1065,0,2,1683,1785,No
67,80,1680,3,0,1057,1326,No
68,83,637,0,1,403,355,No
67,77,417,1,0,1712,1613,No
68,83,1947,1,1,1186,356,No
62,79,1970,2,2,359,703,No
65,88,229,2,0,991,690,No
61,86,984,3,2,1162,1868,No
64,80,254,0,0,609,930,No
60,79,964,2,0,803,819,No
64,85,427,3,1,414,1601,No
61,82,1343,0,2,164,371,No
64,85,432,2,0,647,1617,No
66,80,171,0,1,1576,1547,No
67,82,1983,3,0,286,1065,No
67,85,1420,1,2,1050,1326,No
60,79,331,3,0,821,1860,No
65,80,544,2,1,1221,1995,No
61,86,1431,0,1,1653,1282,No
63,78,1964,3,0,449,678,No
68,85,962,0,0,619,1223,No
68,87,782,0,0,891,752,No
63,86,1219,3,2,163,1546,No
60,78,1185,0,2,1782,347,No
65,86,510,0,0,1929,522,No
62,78,1822,1,0,1716,581,No
60,79,927,1,0,1191,407,No
60,80,1155,3,1,1587,599,No
63,84,1103,1,1,615,194,No
67,80,1275,2,1,1494,870,No
60,77,1277,1,2,793,280,No
67,77,777,0,0,1660,1463,No
65,78,234,0,1,202,360,No
67,82,1477,3,1,668,1733,No
65,83,539,1,0,272,420,No
65,78,654,2,2,1650,1666,No
63,87,1689,1,0,416,1743,No
62,83,1180,2,1,703,854,No
63,84,1171,1,1,847,845,No
62,85,1534,2,1,262,1343,No
68,82,498,1,0,1250,536,No
62,86,1816,0,2,1857,670,No
60,82,1900,0,2,1642,1087,No
61,80,770,2,0,530,1231,No
60,81,1081,3,2,645,1964,No
63,82,1956,1,2,1186,331,No
63,80,1217,0,2,1168,1593,No
64,88,1579,2,0,495,1129,No
64,81,1798,3,1,1659,747,No
67,81,194,1,1,1574,1994,No
64,80,877,3,0,1791,1350,No
62,78,1595,0,1,199,1189,No
62,78,819,2,2,1342,1799,No
65,83,1751,1,1,405,987,No
64,86,1912,3,0,244,321,No
62,87,699,3,0,1454,1109,No
64,78,396,0,1,1144,1619,No
67,85,1627,3,2,1038,442,No
68,88,1912,1,0,995,770,No
65,82,1640,0,0,1943,656,No
67,84,1889,3,0,854,1790,No
63,77,1426,3,2,1685,1547,No
61,87,763,3,1,1623,225,No
64,88,1417,2,2,642,1837,No
61,88,387,1,2,1383,1871,No
61,78,1618,3,0,454,1956,No
61,77,914,2,1,234,1329,No
64,85,1362,1,2,799,1941,No
62,81,385,2,2,1451,1323,No
65,84,1941,2,2,1226,668,No
62,85,388,1,2,972,1840,No
61,85,957,0,1,997,1965,No
68,78,1571,2,2,665,954,No
63,80,215,1,0,987,948,No
67,77,1983,3,0,191,583,No
61,86,1415,3,2,252,851,No
64,82,400,3,0,1613,1485,No
65,77,1554,0,1,1465,1177,No
67,77,1578,0,2,620,773,No
68,80,1692,2,0,1567,1759,No
64,79,1792,0,0,726,1635,No
61,81,317,0,1,1111,747,No
67,83,1419,2,0,1524,161,No
61,84,1243,3,0,1765,760,No
60,85,413,0,0,259,640,No
61,77,678,2,2,1572,1620,No
62,85,389,3,1,1956,839,No
67,86,1124,0,0,851,689,No
68,79,1354,2,1,1842,337,No
64,85,380,3,0,516,1766,No
68,79,1896,0,1,859,432,No
68,81,1207,0,0,675,322,No
66,88,1272,2,2,1277,2010,No
62,78,394,3,1,628,750,No
64,85,1540,0,0,902,1449,No
68,78,1016,0,0,735,992,No
67,87,1632,2,0,1347,703,No
62,86,1194,1,0,638,904,No
68,85,1477,0,1,1449,506,No
62,79,960,3,1,506,237,No
66,77,1403,2,1,1110,982,No
61,82,519,2,2,946,1137,No
64,86,176,0,0,1798,1340,No
61,88,1059,3,0,172,1546,No
60,82,757,0,2,577,475,No
61,79,1625,0,0,1684,1032,No
62,77,1417,1,1,1654,721,No
68,80,1657,1,2,282,1750,No
67,78,1280,1,0,208,1352,No
63,84,1780,0,0,1828,505,No
64,85,462,1,0,1501,352,No
66,86,1524,2,1,1568,950,No
60,82,1799,3,2,786,1238,No
65,77,722,0,0,784,1646,No
66,82,1278,3,2,1811,808,No
63,81,372,3,2,686,1129,No
68,88,824,0,1,1467,191,No
68,79,1898,0,2,1460,1154,No
64,81,1115,1,2,155,2006,No
60,87,1701,2,2,723,265,No
60,83,409,2,0,571,1340,No
65,85,897,3,1,1273,697,No
68,88,1970,0,2,352,1441,No
67,77,837,2,2,1263,1213,No
64,86,1394,0,0,329,1160,No
67,77,1322,0,2,584,1457,No
64,83,663,1,2,1285,792,No
68,88,836,2,2,335,1714,No
60,78,1188,2,2,207,1990,No
66,80,391,3,2,872,1084,No
65,80,1114,2,0,187,1386,No
62,77,266,0,0,550,586,No
66,83,274,1,1,1867,536,No
63,77,1974,0,1,1034,1132,No
67,83,193,3,1,639,1789,No
61,84,308,0,1,208,1383,No
68,78,1308,1,2,1661,1547,No
61,87,1234,1,2,393,1699,No
64,80,1499,1,0,1124,1571,No
61,88,711,3,0,1244,825,No
62,85,188,1,1,984,1827,No
63,88,657,1,1,640,454,No
65,87,1767,0,0,234,1231,No
64,79,340,2,2,1561,1331,No
61,81,785,0,0,635,240,No
68,79,1302,1,0,1488,1390,No
67,85,465,0,1,1999,1173,No
63,88,808,0,2,1975,1019,No
63,79,1192,1,0,181,1191,No
65,82,386,3,0,1421,1354,No
66,87,458,1,2,1670,1006,No
66,80,1339,2,0,1594,683,No
63,82,499,3,2,1661,1312,No
66,83,1776,0,2,172,1773,No
66,77,1037,2,1,314,1734,No
66,80,1765,0,0,1834,1912,No
62,84,828,1,1,1007,908,No
62,87,1987,3,0,727,1137,No
68,84,1249,3,1,1874,1075,No
62,77,1811,1,0,976,1274,No
63,80,371,0,0,1521,772,No
64,79,567,0,2,1538,675,No
63,79,594,0,2,1596,1165,No
64,82,696,2,2,361,1117,No
62,85,1330,2,0,1031,234,No
63,79,820,2,0,1994,1007,No
63,84,701,2,1,873,1981,No
62,81,249,1,0,332,1156,No
60,80,452,3,2,1692,1837,No
66,86,715,1,0,187,1025,No
68,79,879,1,0,1860,1502,No
66,88,1090,0,1,1505,310,No
68,77,832,2,1,192,663,No
61,82,1097,1,0,1452,225,No
63,84,1728,2,1,503,207,No
62,86,1169,0,1,579,346,No
67,80,250,3,2,616,1604,No
60,81,779,2,0,615,685,No
62,81,1411,1,2,1565,1301,No
62,80,1859,1,1,1316,258,No
61,78,1916,3,0,625,1072,No
62,85,196,3,1,485,473,No
63,87,791,0,2,1950,1890,No
68,88,1204,0,1,369,486,No
62,87,1567,1,0,1667,1976,No
64,82,375,1,1,1904,210,No
63,79,832,1,0,288,762,No
63,83,1166,0,0,249,1024,No
63,77,1872,0,1,1740,958,No
62,85,1902,3,0,547,356,No
62,86,1573,2,1,1106,1360,No
63,82,1153,3,1,1043,1556,No
65,88,1051,2,0,372,486,No
60,86,753,0,2,1779,1692,No
66,80,234,1,1,689,1485,No
62,81,885,3,2,711,1038,No
61,77,1567,1,2,167,1692,No
66,81,1821,2,2,732,1402,No
67,85,1204,0,0,1441,1395,No
62,84,1482,2,2,1104,1705,No
61,83,805,1,1,595,1746,No
61,85,815,1,0,399,1431,No
61,86,473,1,2,1836,1012,No
68,78,862,1,0,1898,1564,No
68,80,1976,2,2,1989,362,No
63,86,962,2,2,1006,1752,No
60,84,398,1,2,397,1257,No
60,85,1568,2,1,555,1456,No
62,81,1593,1,0,380,449,No
65,88,1746,1,2,1636,1040,No
61,84,1510,3,1,537,605,No
62,82,694,1,1,928,919,No
67,87,1208,0,1,1536,633,No
64,81,253,3,2,515,797,No
63,79,498,2,1,595,683,No
60,85,1980,0,2,1527,1949,No
64,79,1186,1,2,1766,953,No
67,83,1397,0,1,852,1701,No
61,81,973,2,0,1281,1735,No
64,86,1811,0,2,1328,729,No
61,77,1939,1,0,1528,1818,No
64,81,895,3,0,1025,569,No
67,79,778,2,2,679,1874,No
60,77,1747,0,2,670,296,No
65,80,1970,3,2,1770,1031,No
60,84,1358,1,1,1930,862,No
68,77,1550,2,1,578,264,No
66,85,205,3,2,1904,1276,No
63,83,258,3,2,846,1557,No
63,86,1697,0,1,638,1702,No
65,77,289,0,1,1894,278,No
60,88,749,0,2,1636,1892,No
61,87,1643,3,1,271,691,No
60,84,1861,2,0,236,1055,No
64,81,1687,1,0,1638,1900,No
67,82,1094,2,2,474,1881,No
64,88,1632,0,2,1197,1003,No
66,86,1908,1,1,1789,1397,No
61,83,1486,1,2,1647,352,No
66,78,1449,0,1,725,413,No
62,82,1967,3,0,617,692,No
61,77,1043,1,1,323,1567,No
63,86,1535,3,2,1320,1487,No
66,87,1143,3,2,346,1925,No
68,85,1870,0,1,1805,229,No
68,79,920,1,0,1781,231,No
62,79,1185,3,0,657,1265,No
67,88,1375,1,1,264,182,No
64,86,891,2,1,977,673,No
64,87,935,0,1,285,1869,No
68,81,358,1,0,804,1836,No
63,88,669,2,1,252,1027,No
60,87,548,1,1,1466,1874,No
71,69,1323,2,2,1339,971,Yes
72,72,742,2,2,1773,766,Yes
62,87,1383,1,1,447,1199,No
71,73,550,2,1,1417,269,Yes
72,71,1900,0,2,1945,160,Yes
67,85,1632,3,2,1568,1972,No
63,87,938,2,1,1349,820,No
61,78,747,3,1,630,1660,No
66,88,1874,1,1,333,1843,No
67,81,468,0,2,1281,363,No
68,83,1798,2,1,1651,1003,No
62,77,1864,1,2,1129,940,No
65,88,1451,0,2,945,1277,No
63,83,1766,3,1,1874,835,No
60,83,420,2,2,989,1193,No
67,79,982,3,0,1246,1114,No
65,87,1864,1,2,1784,258,No
65,79,1815,3,2,1598,765,No
62,86,162,0,1,1097,1507,No
63,84,1909,1,2,806,1403,No
68,79,805,1,0,499,1524,No
66,87,1219,0,1,779,1543,No
61,84,1803,1,2,459,1483,No
64,86,880,1,2,1978,1559,No
68,84,1457,3,1,549,1021,No
62,87,464,1,2,687,1018,No
60,83,309,2,2,1976,168,No
63,86,740,2,0,1914,574,No
62,86,1244,0,2,1471,1859,No
67,78,1770,0,0,1809,296,No
67,79,1829,1,1,1560,463,No
65,81,1149,3,0,1012,1074,No
64,77,1900,0,2,1975,1452,No
61,88,230,1,1,402,1130,No
61,80,181,2,1,557,1145,No
68,86,691,2,0,904,620,No
65,86,1971,2,2,1387,378,No
60,87,875,0,0,1778,1577,No
60,86,1842,2,2,1923,1114,No
61,78,1471,1,0,1920,433,No
64,83,1158,0,2,207,1927,No
63,77,1078,2,2,624,668,No
62,79,655,0,1,1462,984,No
68,81,1253,1,1,1171,1075,No
63,85,1534,1,0,244,874,No
61,83,1804,1,0,363,1652,No
68,77,1774,3,2,367,1122,No
62,81,775,0,1,1259,630,No
64,87,1212,2,0,413,1810,No
65,82,498,0,1,812,1454,No
63,85,235,0,0,1179,616,No
67,81,230,0,1,731,1020,No
66,84,1039,3,0,330,1854,No
63,86,983,1,2,1439,412,No
68,86,1097,1,0,1645,1346,No
62,82,1559,2,0,176,418,No
68,86,1312,3,2,1117,1466,No
68,84,1178,3,0,660,1969,No
62,83,1061,1,0,760,1151,No
67,81,1982,1,0,879,208,No
64,86,651,0,0,313,1559,No
60,87,1929,1,0,875,1722,No
62,83,1151,3,2,1949,872,No
64,78,1777,2,0,923,1006,No
68,78,1412,3,1,461,1685,No
68,86,805,0,2,1239,1256,No
68,81,742,0,1,887,450,No
68,86,301,2,0,497,448,No
60,85,1151,1,0,1270,412,No
61,83,1959,2,2,1404,1947,No
61,80,1827,2,2,1525,829,No
66,80,435,1,1,1337,1330,No
63,82,1364,2,0,1615,796,No
65,88,557,3,2,1410,240,No
61,77,983,2,0,1757,1449,No
61,82,776,1,1,1238,523,No
62,80,1836,0,2,938,1545,No
62,87,1434,1,0,1942,1329,No
63,88,786,0,0,1841,1212,No
63,80,1898,3,2,522,358,No
62,83,993,3,2,959,164,No
62,81,1364,2,1,259,583,No
63,81,1338,2,2,384,1372,No
63,83,758,1,1,1871,844,No
61,84,1796,0,0,869,1418,No
65,82,902,2,2,439,691,No
67,84,1172,3,2,1188,565,No
67,77,1300,0,0,526,201,No
61,81,639,2,0,899,448,No
63,77,1709,0,2,487,503,No
68,85,220,2,0,1765,521,No
62,84,369,0,0,266,1836,No
60,81,723,1,1,1608,967,No
60,79,716,0,2,653,325,No
68,81,284,1,2,813,1753,No
67,87,1325,0,1,868,451,No
65,85,1883,0,2,234,931,No
63,78,500,3,0,1823,467,No
65,85,334,2,2,825,517,No
67,81,1514,1,2,329,435,No
60,84,394,1,1,687,902,No
63,83,1127,3,0,1142,516,No
62,79,1808,0,1,1181,1665,No
66,87,1651,2,0,1674,1980,No
62,77,1589,2,0,1795,1368,No
64,86,1330,1,0,1163,792,No
66,83,629,3,1,1754,342,No
67,83,1540,3,2,1107,816,No
62,86,1178,1,1,1130,1231,No
64,87,772,0,0,1532,1154,No
65,82,900,3,2,1953,214,No
60,87,1803,2,2,867,544,No
63,87,1621,0,2,1800,1337,No
68,88,724,2,0,1198,1496,No
62,80,244,1,0,411,233,No
68,86,904,2,2,1577,769,No
64,86,1772,1,1,425,796,No
61,79,1739,0,2,1815,577,No
68,78,1140,2,1,1492,1838,No
66,83,433,1,0,1652,306,No
68,81,1435,1,2,785,1944,No
62,85,1227,0,1,720,229,No
62,82,1503,0,1,1676,1277,No
63,78,810,1,0,1808,1436,No
61,87,260,0,2,161,191,No
67,83,1976,0,2,1618,1659,No
60,80,1076,2,1,1849,1122,No
61,86,1067,1,2,1596,1021,No
65,88,1473,2,2,637,740,No
60,86,1271,2,2,1519,929,No
61,88,914,3,2,1940,293,No
61,78,1941,1,0,1994,235,No
61,80,312,1,2,368,1549,No
62,86,754,2,1,1282,1454,No
65,86,521,0,2,886,718,No
62,86,1020,2,0,1161,1540,No
65,82,611,1,2,1784,871,No
68,77,2003,0,0,181,1052,No
64,79,380,1,2,246,1906,No
66,77,561,0,0,666,552,No
67,80,1300,3,2,1261,738,No
63,86,1152,0,1,878,1904,No
62,80,645,2,1,390,1336,No
66,78,1633,1,1,1872,701,No
60,79,1250,0,0,1537,1909,No
70,88,1783,0,1,763,468,No
60,88,1658,0,1,1383,882,No
68,82,371,0,0,233,347,No
63,84,1177,2,0,1865,1060,No
63,85,1030,0,1,1915,531,No
63,81,1045,1,1,654,492,No
63,79,936,0,2,226,1098,No
65,109,871,3,2,1468,252,No
61,88,1360,0,2,231,1426,No
64,83,525,3,1,1937,875,No
62,78,803,1,1,212,886,No
66,83,1985,1,1,1389,401,No
67,81,1474,0,2,1201,1369,No
60,81,1764,3,1,2002,1772,No
62,84,1637,0,0,529,602,No
67,86,1025,1,0,1285,1834,No
68,87,840,3,1,1427,1776,No
67,81,1429,2,1,447,875,No
61,80,1761,1,2,1887,260,No
65,84,1588,3,2,1300,1201,No
67,82,279,2,2,895,1377,No
64,77,526,3,2,822,751,No
66,78,1268,2,0,1829,1360,No
63,78,492,2,2,209,956,No
65,87,665,3,0,271,1099,No
62,82,1296,2,2,336,363,No
60,83,547,0,0,209,553,No
64,77,241,0,0,926,1446,No
60,86,707,1,2,1122,1718,No
67,77,373,1,2,365,1808,No
64,77,259,0,0,616,407,No
63,86,1761,1,0,597,1298,No
63,79,209,1,0,1714,919,No
64,85,1708,1,1,762,828,No
68,81,1294,2,2,713,1545,No
67,84,1280,2,0,1238,1885,No
63,84,1250,1,1,1712,1497,No
62,81,1885,3,1,1383,1122,No
65,88,1683,2,0,1597,1358,No
65,87,1830,3,2,1756,883,No
67,83,1268,1,2,317,1888,No
60,78,160,0,2,1217,1985,No
65,83,1976,2,1,1447,1694,No
63,87,337,2,2,1938,1957,No
61,82,693,0,2,1755,1022,No
66,82,1882,3,2,908,1674,No
60,83,1369,1,1,1915,352,No
60,80,521,1,0,1114,419,No
61,78,487,1,0,1531,1887,No
67,81,1914,0,1,717,650,No
61,86,1607,0,1,260,1322,No
65,86,366,2,2,804,246,No
63,78,1165,1,2,276,1938,No
66,87,1667,3,0,1462,1247,No
67,79,742,2,1,1241,1925,No
67,86,1689,2,1,484,1539,No
67,86,1431,2,1,1621,1131,No
63,79,794,3,2,734,1022,No
68,77,1980,0,1,616,646,No
63,81,1291,3,1,902,714,No
66,85,629,3,2,1752,1464,No
68,77,1034,1,0,1018,738,No
61,83,1786,3,2,1312,1155,No
60,82,1887,1,1,758,709,No
62,81,1918,0,1,1285,423,No
62,84,1807,0,2,370,1054,No
60,81,1522,3,0,1915,835,No
66,84,906,3,0,1398,924,No
63,84,779,1,0,1962,1945,No
66,88,253,2,0,1594,972,No
63,82,1879,3,1,1601,1876,No
67,77,675,0,2,1212,1161,No
65,84,256,2,2,162,1462,No
61,81,1468,0,2,736,1922,No
61,81,637,0,1,1799,1745,No
65,85,193,3,1,1232,1282,No
62,79,437,1,0,1462,1251,No
60,78,914,3,0,1121,1607,No
68,79,2008,0,1,918,1729,No
68,78,180,3,1,1406,1215,No
66,82,982,3,2,708,172,No
68,87,1975,3,1,372,1212,No
62,84,1697,2,0,1439,999,No
65,86,823,2,0,233,637,No
64,85,852,0,1,737,1269,No
65,87,909,2,1,1310,1127,No
63,87,349,1,1,929,1631,No
60,88,1294,2,1,1073,339,No
64,85,1545,2,2,1653,1934,No
66,82,1872,0,1,881,1836,No
60,88,1958,3,0,1442,1995,No
67,88,1888,3,1,561,1146,No
61,83,984,0,0,244,479,No
64,86,1208,1,2,1749,1290,No
61,85,381,0,0,1446,304,No
66,86,373,3,0,1462,493,No
68,79,1560,1,2,1570,980,No
65,84,1165,0,1,1487,782,No
67,82,1522,1,2,944,176,No
61,82,1228,2,0,703,235,No
64,80,1254,1,1,1600,1885,No
68,87,1174,3,0,1202,485,No
64,78,1524,2,0,1542,486,No
61,83,1191,1,2,621,516,No
67,78,2010,0,2,684,1359,No
66,85,2008,3,1,1626,1672,No
66,87,1122,0,0,247,1379,No
62,86,1737,1,2,1630,281,No
62,80,1034,0,1,1190,355,No
61,78,1002,0,0,282,708,No
67,88,1643,1,1,687,981,No
66,78,1244,1,1,673,702,No
62,87,797,1,2,1693,885,No
65,87,1310,1,1,1491,1979,No
67,78,1217,1,0,1058,1442,No
61,81,729,1,0,1264,577,No
65,81,1720,0,2,1471,508,No
67,83,1763,2,1,1170,1582,No
68,79,644,3,0,640,169,No
63,77,538,1,1,1452,1809,No
66,82,776,0,2,1027,1698,No
63,88,1712,0,2,861,1759,No
60,81,1736,1,2,1754,1630,No
62,88,1392,3,0,551,411,No
66,85,539,2,2,1140,1145,No
64,88,799,2,0,1004,1244,No
64,85,1063,1,0,1169,263,No
60,83,970,0,1,718,507,No
65,78,190,1,0,836,1642,No
61,78,1420,1,2,881,337,No
66,87,2005,3,0,1250,1392,No
67,77,1939,3,0,1937,1110,No
66,78,1773,1,2,384,427,No
64,83,222,1,0,673,736,No
